GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ATS-Project,Projeto,Ciclismo,125,0,6,0,29,0,11,0,8,0
ATS-Project,Projeto,Abdominais,127,0,6,0,30,0,11,0,8,0
ATS-Project,Projeto,AppDesportiva,2025,0,175,0,509,0,128,0,24,0
ATS-Project,Projeto,GestorDesportivo,1302,0,86,0,223,0,106,0,63,0
ATS-Project,Projeto,AtivRepeticoes,95,0,10,0,23,0,13,0,8,0
ATS-Project,Projeto,Utilizador,1016,0,66,0,227,0,99,0,66,0
ATS-Project,Projeto,UtilizadorAmador,79,0,6,0,21,0,12,0,9,0
ATS-Project,Projeto,Corrida,125,0,6,0,29,0,11,0,8,0
ATS-Project,Projeto,PlanoTreino.AtividadeIteracoes,110,0,10,0,26,0,14,0,9,0
ATS-Project,Projeto,ProgPrincipal,33,0,2,0,9,0,4,0,3,0
ATS-Project,Projeto,Atividade,208,0,14,0,52,0,23,0,16,0
ATS-Project,Projeto,BenchPress,208,0,12,0,39,0,17,0,11,0
ATS-Project,Projeto,Menu,256,0,18,0,83,0,20,0,11,0
ATS-Project,Projeto,Trail,205,0,12,0,41,0,18,0,12,0
ATS-Project,Projeto,LegPress,208,0,12,0,39,0,17,0,11,0
ATS-Project,Projeto,AtivRepsPeso,99,0,10,0,24,0,13,0,8,0
ATS-Project,Projeto,Flexoes,124,0,6,0,29,0,11,0,8,0
ATS-Project,Projeto,AtivDistancia,108,0,10,0,25,0,14,0,9,0
ATS-Project,Projeto,BicepCurls,208,0,12,0,39,0,17,0,11,0
ATS-Project,Projeto,UtilizadorPraticanteOcasional,79,0,6,0,21,0,12,0,9,0
ATS-Project,Projeto,UtilizadorProfissional,79,0,6,0,21,0,12,0,9,0
ATS-Project,Projeto,AtivDistAltimetria,92,0,10,0,23,0,13,0,8,0
ATS-Project,Projeto,Btt,205,0,12,0,41,0,18,0,12,0
ATS-Project,Projeto,PlanoTreino,606,0,56,0,126,0,49,0,21,0
